string_number	이름	내용
Intro_001	유성	어렴풋이 기억나는 세상은 온통 녹음으로 가득했다.
Intro_002	유성	"하늘을 지나는 빛의 꼬리,"
Intro_003	유성	시끄럽게 울려대는 구급차와 경찰차의 사이렌 소리와 함께 사람들의 비명 소리가 겹쳤다.
Intro_004	유성	"세상은 온통 회색으로 물들고, 그 속을 녹음이 채웠다."
Intro_005	TV	"뉴스 속보입니다. 개의 형태를 지닌 동물이 도심지에 출몰했습니다. 해당 종은 여태 발견되지 않았던 종으로 보이며, 폭력성을 보이므로 시민 여러분의 안전에 유의..."
Intro_006	TV	긴급 속보입니다. 00시의 건물 벽에서 폭발이 발생했습니다. 근처에 있던 피해자의 말로는 식물이 붉게 빛나더니 폭발을 했다고...
Intro_007	TV	치직.
Intro_008	유성	우리가 태어난 세상은 혼란스럽기 그지 없었다.
Intro_009	유성	"새롭게 발견되었다는 종들은 하나같이 난폭하고, 식물 마저도 폭발을 일으키는 시대."
Intro_010	유성	"하루를 살아가기 위한 게 아니라,"
Intro_011	유성	살아남기 위해 움직여야 하는 우리들.
Intro_012	유성	...
Intro_013	유성	"시간은 흘러, 그나마 적응해가던 이들은 또 다시 변화를 맞이했다."
Intro_014	유성	이제 우리는 그 새롭게 발견되었다는 종들이 무엇인지 안다.
Intro_015	유성	그것들은...
Intro_016	유성	지구에 존재하던 식물과 동물이 변이한 결과물.
Intro_017	유성	어떻게 알았냐고?
Intro_018	유성	그건...
Intro_019	유성	"우리 주변의 사람이, 그들과 마찬가지로 난폭하게 변화한 것을 보았으니까."
Intro_020	유성	"누군가는 어깨에서 팔 한쌍이 더 자라나 기이한 형체를 가지고,"
Intro_021	유성	"또 누군가는 변화를 짐작조차 하지 못하게, 그저 이성만을 잃고 폭력성을 내비쳤다."
Intro_022	유성	사람들은 그들을 피해 달아나기 시작했다.
Intro_023	유성	"그리고, 공포에 떨었다."
Intro_024	유성	자신도 언제 그렇게 변할지 아무도 모르는 일이었기 때문에.
Intro_025	라디오	"치, 치직... 속보... 다..."
Intro_026	라디오	"인간... 변이, ... 이성... ... 신기... 힘을 지닌, ... ...습니다."
Intro_027	유성	그러나 어떠한 절망의 상황에도 희망은 싹 트는 것일까.
Intro_028	유성	공포에 떨던 인간 중 일부는 특수한 능력을 지녔다고─ 라디오에서 말을 전했다.
Intro_029	유성	옛날 히어로 영화에나 나올 법한 인간을 초월한 힘이라나.
Intro_030	유성	"인간들은 그 힘으로 변이한 개체를 처치하거나, 도망가는 등의 살아남기 위한 싸움을 지속해왔다."
Intro_031	유성	"그렇게, 지금까지도 살아남았다."
